cod_ibge,year,diarrhea,population,incidence_diarrhea
350540,2010,1.0,7623.0,13.118194936376755
350540,2011,0.0,7700.0,0.0
350540,2012,1.0,7672.0,13.034410844629823
350540,2013,0.0,7878.0,0.0
350540,2014,0.0,7853.0,0.0
350540,2015,0.0,7828.0,0.0
350540,2016,1.0,7804.0,12.813941568426447
350540,2017,0.0,7781.0,0.0
350540,2018,0.0,7687.0,0.0
350540,2019,0.0,7659.0,0.0
350550,2010,48.0,111602.7,43.0097121306205
350550,2011,59.0,112730.0,52.33744344894882
350550,2012,11.0,113338.0,9.7054827154176
350550,2013,4.0,117779.0,3.3961911716010498
