cod_ibge,deng_2010,deng_2011,deng_2012,deng_2013,deng_2014,deng_2015,deng_2016,deng_2017,deng_2018,deng_2019
354760,163,299,9,139,48,336,278,21,5,67
354765,3,0,0,13,4,45,12,1,4,109
354770,17,25,12,519,28,199,917,9,0,477
354780,318,117,55,192,481,1674,511,37,15,357
354790,6,11,1,6,1,20,88,1,1,5
354800,47,405,94,58,390,3198,170,28,911,52
354805,122,3,5,21,113,78,32,0,4,96
354810,1,2,0,2,3,73,8,3,2,2
354840,7,2,2,60,16,53,33,0,1,41
354850,8278,185,1224,11218,3647,5184,1987,324,202,638
354870,349,220,70,246,636,3341,1296,60,70,485
354880,81,35,15,44,82,731,150,13,15,79
354890,292,145,29,363,358,8565,412,37,38,7745
354900,6,110,0,93,27,51,12,0,4,166
354910,23,34,10,60,596,5725,78,11,5,240
354920,18,3,2,16,1,151,15,1,1,61
354925,4,1,3,9,7,8,6,4,33,36
354930,1,1,0,1,22,33,37,1,1,31
354940,677,880,17,1131,122,869,707,40,350,5892
354950,5,1,13,53,0,54,303,3,2,289
354970,40,55,4,344,52,1102,114,13,11,274
354980,24438,972,478,18795,1233,22183,16340,603,983,33237
354990,1056,2538,159,860,913,14574,1741,462,195,674
354995,4,3,0,7,14,61,18,1,2,3
355000,4,10,5,11,25,25,15,9,8,18
355010,8,9,3,8,5,375,71,1,1,98
355020,1,2,2,5,3,65,16,2,0,24
355030,8754,5989,1844,4757,34149,56115,18667,761,1047,19279
355040,7,9,11,159,1112,386,12,1,1,162
355060,9,15,8,40,91,635,83,3,8,16
355070,1734,396,84,781,1714,4909,59,17,90,1466
355080,1,1,1,3,7,39,3,17,3,15
355090,53,202,6,332,3,309,816,12,9,646
355100,6171,86,530,4261,613,2520,838,92,26,86
355110,1,4,1,6,3,78,5,1,4,10
355130,14,0,0,12,12,21,4,1,8,39
355140,54,349,2,108,7,235,121,3,0,263
355150,540,915,47,530,53,448,683,20,9,814
355160,2,4,1,4,40,256,33,0,0,19
355170,504,1283,66,589,237,1052,3117,9,25,1663
355180,28,1,0,273,8,55,6,30,1,78
355190,120,3,6,212,30,190,65,4,3,815
355200,1,7,2,4,1,18,1,1,1,30
355210,10,3,2,6,11,546,28,0,15,155
355220,424,1782,27,719,450,56779,365,67,45,1082
355230,26,6,2,147,17,431,35,7,10,534
355240,1808,1508,357,2604,4759,14538,472,59,33,2876
355250,42,18,11,17,45,638,476,28,37,544
355255,7,11,2,17,69,199,24,0,10,297
355260,17,5,16,89,15,721,12,8,9,637
355270,516,15,9,108,7,326,290,4,4,363
355280,512,156,119,108,1216,3362,408,80,58,362
355290,8,0,0,108,2,18,21,3,3,22
355300,38,0,1,0,0,32,6,0,0,19
355310,129,8,7,97,3,114,31,25,1,109
355320,141,6,1,97,2,103,201,2,2,241
355330,35,320,3,79,286,1767,48,9,14,23
355340,474,51,7,435,228,1800,88,21,35,1709
355360,31,81,2,157,6,336,1,6,2,23
355365,9,1,1,24,1,38,5,0,0,45
355370,1811,65,6,908,112,528,1603,15,162,4076
355380,5,1,0,1,3,65,1,0,0,20
355390,5,4,1,7,16,69,17,0,0,12
355395,9,4,4,39,154,527,17,1,4,190
355400,26,16,7,35,32,579,129,6,3,47
355410,4236,4413,90,566,9916,2466,3321,71,58,239
355430,26,319,4,118,22,110,194,12,10,133
355440,60,5,1,58,8,121,10,3,1,229
355450,13,8,4,51,22,365,94,4,2,26
355465,1,1,0,0,0,6,0,0,7,0
355470,3,4,1,3,24,38,5,0,0,35
355475,3,1,0,4,58,133,2,1,16,70
355480,164,160,15,75,995,419,695,8,12,54
355490,119,74,2,24,8,202,58,3,4,172
355495,1,3,1,0,4,32,4,2,1,3
355500,1319,191,10,2389,826,2413,104,5,8,6341
355510,29,7,1,114,23,936,15,1,25,353
355520,29,0,1,21,26,84,19,1,0,64
355530,2,4,0,40,11,49,23,0,2,111
355535,105,2,1,13,92,237,108,4,8,421
355540,306,836,23,1165,1279,3130,304,127,42,1839
355550,14,0,0,14,5,118,1,2,0,8
355560,212,23,5,171,32,404,235,8,330,684
355570,3,7,1,3,0,23,20,4,5,154
355580,42,16,5,27,15,974,117,13,18,499
355600,49,3,3,39,11,196,65,10,17,185
355610,255,10,0,125,99,123,50,4,208,322
355620,81,99,47,88,306,1557,159,99,61,442
355630,252,9,6,65,42,467,46,1,6,344
355635,1,0,0,1,8,22,6,1,4,9
355640,35,12,4,506,52,801,148,7,6,439
355645,8,3,2,6,23,209,42,2,0,23
355650,20,86,46,56,511,1609,38,1,3,670
355660,10,2,0,37,14,400,12,0,0,108
355670,30,26,33,67,193,963,45,6,5,126
355680,99,10,28,102,91,195,91,4,9,320
355690,91,4,0,152,3,135,21,1,2,267
355695,3,5,0,66,10,129,52,6,10,74
355700,96,290,10,278,39,1828,57,2,2,168
355710,1132,275,27,1425,2786,1319,838,35,223,6233
355715,9,0,8,19,86,179,9,1,1,114
355720,2,3,0,6,2,127,44,0,101,163
